,Price,Room,View Size,Age,Floortype,Location
0,"
24.000 TL",4 + 1,"
300 m2",10 Yaşında, ,"
Sarıyer,
 
Kumköy Mahallesi
"
1,"
24.000 TL",3 + 1,"
194 m2",8 Yaşında, 3. Kat,"
Sarıyer,
 
İstinye Mahallesi
"
2,"
38.000 TL",3 + 1,"
194 m2",8 Yaşında, Bahçe Katı,"
Sarıyer,
 
İstinye Mahallesi
"
3,"
10.000 TL",7 + 2,"
400 m2",35 Yaşında, ,"
Sarıyer,
 
Emirgan Mahallesi
"
4,"
37.500 TL",4 + 1,"
236 m2",2 Yaşında, 3. Kat,"
Beşiktaş,
 
Levazım Mahallesi
"
5,"
90.000 TL",6 + 1,"
600 m2",14 Yaşında, ,"
Beşiktaş,
 
Levent Mahallesi
"
6,"
37.500 TL",5 + 1,"
280 m2",5 Yaşında, 2. Kat,"
Beşiktaş,
 
Levazım Mahallesi
"
7,"
2.100 TL",1 + 1,"
70 m2",4 Yaşında, Yüksek Giriş,"
Kağıthane,
 
Emniyet Evleri Mahallesi
"
8,"
1.950 TL",1 + 1,"
60 m2",5 Yaşında, 3. Kat,"
Şişli,
 
Bozkurt Mahallesi
"
9,"
3.200 TL",2 + 1,"
105 m2",18 Yaşında, Giriş Katı,"
Maltepe,
 
Küçükyalı Mahallesi
"
10,"
10.000 TL",4 + 1,"
160 m2",25 Yaşında, Villa Katı,"
Sarıyer,
 
Yeniköy Mahallesi
"
11,"
1.700 TL",2 + 1,"
80 m2",4 Yaşında, Giriş Katı,"
Üsküdar,
 
Murat Reis Mahallesi
"
12,"
5.000 TL",3 + 1,"
155 m2",5 Yaşında, 4. Kat,"
Küçükçekmece,
 
Atatürk Mahallesi
"
13,"
30.000 TL",4 + 1,"
290 m2",5 Yaşında, ,"
Sarıyer,
 
Uskumruköy Mahallesi
"
14,"
11.000 TL",2 + 1,"
135 m2",35 Yaşında, Ara Kat,"
Beşiktaş,
 
Kuruçeşme Mahallesi
"
15,"
11.000 TL",2 + 1,"
100 m2",25 Yaşında, 3. Kat,"
Sarıyer,
 
İstinye Mahallesi
"
16,"
6.900 TL",3 + 1,"
189 m2",4 Yaşında, 8. Kat,"
Gaziosmanpaşa,
 
Karadeniz Mahallesi
"
17,"
6.000 TL",1 + 1,"
97 m2",20 Yaşında, 18. Kat,"
Şişli,
 
Fulya Mahallesi
"
18,"
12.000 TL",1 + 1,"
105 m2",10 Yaşında, 21 ve üzeri,"
Beşiktaş,
 
Dikilitaş Mahallesi
"
19,"
1.600 TL",2 + 1,"
95 m2",35 Yaşında, 4. Kat,"
Bahçelievler,
 
Şirinevler Mahallesi
"
20,"
2.900 TL",1 + 1,"
70 m2",1 Yaşında, 3. Kat,"
Eyüpsultan,
 
Göktürk Merkez Mahallesi
"
21,"
3.500 TL",4 + 1,"
180 m2",Sıfır Bina, Giriş Katı,"
Eyüpsultan,
 
Mithatpaşa Mahallesi
"
22,"
4.200 TL",2 + 1,"
130 m2",8 Yaşında, 5. Kat,"
Pendik,
 
Doğu Mahallesi
"
23,"
1.900 TL",2 + 1,"
70 m2",8 Yaşında, 5. Kat,"
Pendik,
 
Doğu Mahallesi
"
24,"
2.150 TL",1 + 1,"
80 m2",4 Yaşında, Yüksek Giriş,"
Kağıthane,
 
Ortabayır Mahallesi
"
25,"
2.900 TL",3 + 1,"
120 m2",33 Yaşında, 5. Kat,"
Kağıthane,
 
Emniyet Evleri Mahallesi
"
26,"
13.000 TL",2 + 1,"
135 m2",35 Yaşında, 2. Kat,"
Beşiktaş,
 
Kuruçeşme Mahallesi
"
27,"
3.500 TL",1 + 1,"
60 m2",45 Yaşında, 4. Kat,"
Beyoğlu,
 
Cihangir Mahallesi
"
28,"
2.350 TL",3 + 1,"
125 m2",9 Yaşında, Giriş Katı,"
Büyükçekmece,
 
Atatürk Mahallesi
"
29,"
2.000 TL",3 + 1,"
120 m2",27 Yaşında, 3. Kat,"
Kartal,
 
Orhantepe Mahallesi
"
30,"
2.500 TL",2 + 1,"
85 m2",4 Yaşında, 2. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
31,"
28.000 TL",5 + 1,"
240 m2",15 Yaşında, 2. Kat,"
Sarıyer,
 
Tarabya Mahallesi
"
32,"
3.400 TL",3 + 1,"
90 m2",35 Yaşında, 2. Kat,"
Şişli,
 
Bozkurt Mahallesi
"
33,"
5.000 TL",4 + 1,"
180 m2",21 Yaşında, Giriş Katı,"
Bahçelievler,
 
Bahçelievler Mahallesi
"
34,"
2.100 TL",2 + 1,"
80 m2",8 Yaşında, Kot 1,"
Kağıthane,
 
Gültepe Mahallesi
"
35,"
2.350 TL",2 + 1,"
80 m2",25 Yaşında, 3. Kat,"
Şişli,
 
Bozkurt Mahallesi
"
36,"
9.000 TL",3 + 1,"
180 m2",5 Yaşında, 10. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
37,"
13.000 TL",3 + 1,"
170 m2",45 Yaşında, 2. Kat,"
Beyoğlu,
 
Kılıçali Paşa Mahallesi
"
38,"
25.000 TL",4 + 1,"
180 m2",10 Yaşında, Yüksek Giriş,"
Beşiktaş,
 
Yıldız Mahallesi
"
39,"
2.150 TL",Stüdyo,"
45 m2",6 Yaşında, Yüksek Giriş,"
Bakırköy,
 
Osmaniye Mahallesi
"
40,"
1.600 TL",1 + 1,"
70 m2",Sıfır Bina, 10. Kat,"
Başakşehir,
 
Bahçeşehir 2. Kısım Mahallesi
"
41,"
22.000 TL",4 + 1,"
200 m2",85 Yaşında, 3. Kat,"
Şişli,
 
Harbiye Mahallesi
"
42,"
27.000 TL",4 + 4,"
600 m2",20 Yaşında, ,"
Üsküdar,
 
Çengelköy Mahallesi
"
43,"
80.000 TL",4 + 1,"
550 m2",11 Yaşında, ,"
Sarıyer,
 
Tarabya Mahallesi
"
44,"
220.000 TL",7 + 2,"
900 m2",20 Yaşında, ,"
Beşiktaş,
 
Bebek Mahallesi
"
45,"
6.000 TL",2 + 1,"
100 m2",25 Yaşında, Bahçe Katı,"
Beşiktaş,
 
Yıldız Mahallesi
"
46,"
1.900 TL",3 + 1,"
140 m2",25 Yaşında, Yüksek Giriş,"
Sarıyer,
 
Cumhuriyet Mahallesi
"
47,"
4.000 TL",3 + 1,"
120 m2",26 Yaşında, 2. Kat,"
Kadıköy,
 
Kozyatağı Mahallesi
"
48,"
16.000 TL",3 + 1,"
194 m2",4 Yaşında, 12. Kat,"
Sarıyer,
 
Ayazağa Mahallesi
"
49,"
25.000 TL",3 + 1,"
270 m2",25 Yaşında, 8. Kat,"
Kadıköy,
 
Fenerbahçe Mahallesi
"
50,"
8.500 TL",2 + 1,"
155 m2",5 Yaşında, 16. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
51,"
3.500 TL",2 + 1,"
85 m2",Sıfır Bina, 2. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
52,"
3.200 TL",2 + 1,"
120 m2",25 Yaşında, 2. Kat,"
Sarıyer,
 
Tarabya Mahallesi
"
53,"
9.000 TL",4 + 1,"
220 m2",25 Yaşında, 1. Kat,"
Bakırköy,
 
Şenlikköy Mahallesi
"
54,"
2.200 TL",3 + 1,"
110 m2",25 Yaşında, 3. Kat,"
Kağıthane,
 
Emniyet Evleri Mahallesi
"
55,"
2.900 TL",2 + 1,"
125 m2",19 Yaşında, 4. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
56,"
4.200 TL",3 + 1,"
130 m2",35 Yaşında, 3. Kat,"
Şişli,
 
Fulya Mahallesi
"
57,"
3.400 TL",3 + 1,"
155 m2",27 Yaşında, 1. Kat,"
Kadıköy,
 
Bostancı Mahallesi
"
58,"
2.000 TL",1 + 1,"
86 m2",9 Yaşında, 4. Kat,"
Esenyurt,
 
Barbaros Hayrettin Paşa Mahallesi
"
59,"
3.500 TL",2 + 1,"
120 m2",25 Yaşında, Bahçe Katı,"
Sarıyer,
 
Tarabya Mahallesi
"
60,"
2.500 TL",1 + 1,"
60 m2",1 Yaşında, 5. Kat,"
Kağıthane,
 
Yeşilce Mahallesi
"
61,"
2.500 TL",2 + 2,"
150 m2",20 Yaşında, 4. Kat,"
Şişli,
 
Esentepe Mahallesi
"
62,"
3.500 TL",2 + 1,"
85 m2",Sıfır Bina, 2. Kat,"
Şişli,
 
Esentepe Mahallesi
"
63,"
3.500 TL",1 + 1,"
78 m2",3 Yaşında, 8. Kat,"
Kağıthane,
 
Çeliktepe Mahallesi
"
64,"
3.500 TL",2 + 1,"
80 m2",6 Yaşında, 1. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
65,"
3.550 TL",2 + 1,"
85 m2",Sıfır Bina, 3. Kat,"
Şişli,
 
Esentepe Mahallesi
"
66,"
1.350 TL",3 + 1,"
110 m2",15 Yaşında, Giriş Katı,"
Beyoğlu,
 
Keçeci Piri Mahallesi
"
67,"
7.500 TL",3 + 1,"
118 m2",4 Yaşında, 17. Kat,"
Kadıköy,
 
19 Mayıs Mahallesi
"
68,"
1.500 TL",2 + 1,"
60 m2",25 Yaşında, 1. Kat,"
Kağıthane,
 
Emniyet Evleri Mahallesi
"
69,"
1.350 TL",2 + 1,"
100 m2",17 Yaşında, Çatı Katı,"
Ataşehir,
 
Kayışdağı Mahallesi
"
70,"
1.500 TL",2 + 1,"
85 m2",15 Yaşında, 5. Kat,"
Büyükçekmece,
  
Murat Çeşme Mahallesi
"
71,"
1.800 TL",3 + 1,"
100 m2",25 Yaşında, 2. Kat,"
Kağıthane,
 
Harmantepe Mahallesi
"
72,"
7.000 TL",1 + 1,"
82 m2",4 Yaşında, 9. Kat,"
Sarıyer,
 
Ayazağa Mahallesi
"
73,"
2.550 TL",2 + 1,"
90 m2",27 Yaşında, 3. Kat,"
Büyükçekmece,
 
Pınartepe Mahallesi
"
74,"
6.000 TL",1 + 1,"
85 m2",8 Yaşında, 5. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
75,"
3.000 TL",2 + 1,"
100 m2",35 Yaşında, 1. Kat,"
Beşiktaş,
 
Dikilitaş Mahallesi
"
76,"
28.000 TL",5 + 1,"
330 m2",5 Yaşında, Çatı Katı,"
Sarıyer,
 
Tarabya Mahallesi
"
77,"
3.650 TL",2 + 1,"
85 m2",20 Yaşında, 3. Kat,"
Şişli,
 
Mecidiyeköy Mahallesi
"
78,"
2.300 TL",2 + 1,"
85 m2",17 Yaşında, 4. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
79,"
4.250 TL",3 + 1,"
100 m2",3 Yaşında, 2. Kat,"
Bahçelievler,
 
Bahçelievler Mahallesi
"
80,"
80.000 TL",5 + 1,"
450 m2",15 Yaşında, 21 ve üzeri,"
Beşiktaş,
 
Levent Mahallesi
"
81,"
1.700 TL",1 + 1,"
60 m2",30 Yaşında, Bahçe Katı,"
Beşiktaş,
 
Abbasağa Mahallesi
"
82,"
4.000 TL",3 + 1,"
125 m2",16 Yaşında, 2. Kat,"
Zeytinburnu,
 
Seyitnizam Mahallesi
"
83,"
5.000 TL",2 + 1,"
95 m2",40 Yaşında, 3. Kat,"
Beyoğlu,
 
Cihangir Mahallesi
"
84,"
1.650 TL",2 + 1,"
75 m2",1 Yaşında, 2. Kat,"
Şişli,
 
Gülbahar Mahallesi
"
85,"
3.500 TL",3 + 1,"
125 m2",28 Yaşında, Yüksek Giriş,"
Beşiktaş,
 
Dikilitaş Mahallesi
"
86,"
16.000 TL",6 + 2,"
450 m2",18 Yaşında, ,"
Başakşehir,
 
Bahçeşehir 1. Kısım Mahallesi
"
87,"
3.000 TL",2 + 1,"
80 m2",Sıfır Bina, Yüksek Giriş,"
Şişli,
 
Esentepe Mahallesi
"
88,"
6.500 TL",3 + 1,"
160 m2",20 Yaşında, 4. Kat,"
Kadıköy,
 
Fenerbahçe Mahallesi
"
89,"
2.750 TL",2 + 1,"
80 m2",2 Yaşında, 3. Kat,"
Kağıthane,
 
Çeliktepe Mahallesi
"
90,"
6.500 TL",3 + 1,"
120 m2",3 Yaşında, 3. Kat,"
Beşiktaş,
 
Gayrettepe Mahallesi
"
91,"
1.900 TL",1 + 1,"
65 m2",20 Yaşında, 3. Kat,"
Şişli,
 
Kuştepe Mahallesi
"
92,"
1.950 TL",2 + 1,"
85 m2",18 Yaşında, 4. Kat,"
Sarıyer,
 
Huzur Mahallesi
"
93,"
1.350 TL",1 + 1,"
70 m2",28 Yaşında, 3. Kat,"
Kağıthane,
 
Telsizler Mahallesi
"
94,"
3.000 TL",2 + 1,"
80 m2",Sıfır Bina, Giriş Katı,"
Kağıthane,
 
Ortabayır Mahallesi
"
95,"
2.000 TL",1 + 1,"
60 m2",5 Yaşında, 1. Kat,"
Şişli,
 
Mecidiyeköy Mahallesi
"
96,"
3.350 TL",2 + 1,"
101 m2",5 Yaşında, 6. Kat,"
Şişli,
 
Mecidiyeköy Mahallesi
"
97,"
2.350 TL",1 + 1,"
60 m2",40 Yaşında, Zemin,"
Beşiktaş,
 
Levazım Mahallesi
"
98,"
2.100 TL",2 + 1,"
95 m2",25 Yaşında, 4. Kat,"
Şişli,
 
Gülbahar Mahallesi
"
99,"
3.250 TL",3 + 1,"
160 m2",25 Yaşında, 3. Kat,"
Sarıyer,
 
Cumhuriyet Mahallesi
"
100,"
3.400 TL",2 + 1,"
75 m2",35 Yaşında, 1. Kat,"
Beşiktaş,
 
Vişnezade Mahallesi
"
101,"
4.500 TL",3 + 1,"
100 m2",25 Yaşında, 2. Kat,"
Şişli,
 
Halaskargazi Mahallesi
"
102,"
2.000 TL",2 + 1,"
130 m2",19 Yaşında, 4. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
103,"
1.400 TL",1 + 1,"
60 m2",25 Yaşında, Giriş Katı,"
Kağıthane,
 
Çeliktepe Mahallesi
"
104,"
20.000 TL",3 + 1,"
155 m2",Sıfır Bina, 3. Kat,"
Şişli,
 
Teşvikiye Mahallesi
"
105,"
1.400 TL",2 + 1,"
78 m2",5 Yaşında, Bahçe Katı,"
Kağıthane,
 
Seyrantepe Mahallesi
"
106,"
6.000 TL",3 + 1,"
120 m2",10 Yaşında, 1. Kat,"
Bakırköy,
 
Osmaniye Mahallesi
"
107,"
2.750 TL",1 + 1,"
85 m2",18 Yaşında, 1. Kat,"
Beşiktaş,
 
Dikilitaş Mahallesi
"
108,"
10.000 TL",1 + 1,"
54 m2",4 Yaşında, 10. Kat,"
Üsküdar,
 
Ünalan Mahallesi
"
109,"
2.500 TL",2 + 1,"
85 m2",8 Yaşında, Yüksek Giriş,"
Beyoğlu,
 
Küçük Piyale Mahallesi
"
110,"
2.500 TL",Stüdyo,"
55 m2",1 Yaşında, 5. Kat,"
Kağıthane,
 
Hamidiye Mahallesi
"
111,"
1.750 TL",1 + 1,"
50 m2",5 Yaşında, Yüksek Giriş,"
Şişli,
 
Mecidiyeköy Mahallesi
"
112,"
6.500 TL",3 + 1,"
130 m2",35 Yaşında, 4. Kat,"
Beşiktaş,
 
Etiler Mahallesi
"
113,"
3.500 TL",2 + 1,"
80 m2",1 Yaşında, 2. Kat,"
Şişli,
 
Mecidiyeköy Mahallesi
"
114,"
2.000 TL",3 + 1,"
100 m2",30 Yaşında, 4. Kat,"
Şişli,
 
Feriköy Mahallesi
"
115,"
2.750 TL",3 + 1,"
130 m2",20 Yaşında, Yüksek Giriş,"
Şişli,
 
Duatepe Mahallesi
"
116,"
2.150 TL",1 + 1,"
55 m2",5 Yaşında, Yüksek Giriş,"
Kağıthane,
 
Ortabayır Mahallesi
"
117,"
2.350 TL",1 + 1,"
50 m2",15 Yaşında, Bahçe Katı,"
Şişli,
 
Mecidiyeköy Mahallesi
"
118,"
2.200 TL",3 + 1,"
150 m2",35 Yaşında, 5. Kat,"
Güngören,
 
Mareşal Çakmak Mahallesi
"
119,"
1.950 TL",2 + 1,"
85 m2",6 Yaşında, 1. Kat,"
Kağıthane,
 
Sultan Selim Mahallesi
"
120,"
24.000 TL",2 + 1,"
90 m2",26 Yaşında, 4. Kat,"
Silivri,
 
Cumhuriyet Mahallesi
"
121,"
2.100 TL",3 + 1,"
110 m2",28 Yaşında, 1. Kat,"
Kağıthane,
 
Emniyet Evleri Mahallesi
"
122,"
112.500 TL",4 + 1,"
370 m2",4 Yaşında, 10. Kat,"
Beşiktaş,
 
Levazım Mahallesi
"
123,"
1.700 TL",1 + 1,"
65 m2",6 Yaşında, Kot 1,"
Şişli,
 
Mecidiyeköy Mahallesi
"
124,"
3.350 TL",2 + 1,"
101 m2",5 Yaşında, 6. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
125,"
2.000 TL",2 + 1,"
120 m2",25 Yaşında, 2. Kat,"
Sarıyer,
 
Cumhuriyet Mahallesi
"
126,"
2.700 TL",2 + 1,"
90 m2",50 Yaşında, 2. Kat,"
Beyoğlu,
 
Firuzağa Mahallesi
"
127,"
3.200 TL",2 + 1,"
80 m2",50 Yaşında, 5. Kat,"
Beyoğlu,
 
Firuzağa Mahallesi
"
128,"
5.000 TL",4 + 1,"
175 m2",15 Yaşında, 1. Kat,"
Zeytinburnu,
 
Telsiz Mahallesi
"
129,"
1.650 TL",2 + 1,"
100 m2",21 Yaşında, Çatı Katı,"
Ataşehir,
 
Kayışdağı Mahallesi
"
130,"
8.000 TL",1 + 1,"
80 m2",100 Yaşında, 1. Kat,"
Şişli,
 
Teşvikiye Mahallesi
"
131,"
1.750 TL",2 + 1,"
130 m2",20 Yaşında, 1. Kat,"
Sarıyer,
 
Cumhuriyet Mahallesi
"
132,"
3.000 TL",1 + 1,"
70 m2",8 Yaşında, Bahçe Katı,"
Beşiktaş,
 
Türkali Mahallesi
"
133,"
3.600 TL",2 + 1,"
90 m2",35 Yaşında, 2. Kat,"
Şişli,
 
Meşrutiyet Mahallesi
"
134,"
6.000 TL",1 + 1,"
88 m2",4 Yaşında, 15. Kat,"
Sarıyer,
 
Huzur Mahallesi
"
135,"
2.250 TL",2 + 1,"
80 m2",6 Yaşında, 2. Kat,"
Şişli,
 
Mecidiyeköy Mahallesi
"
136,"
2.000 TL",1 + 1,"
85 m2",40 Yaşında, 4. Kat,"
Şişli,
 
Bozkurt Mahallesi
"
137,"
1.700 TL",1 + 1,"
75 m2",33 Yaşında, 1. Kat,"
Kağıthane,
 
Emniyet Evleri Mahallesi
"
138,"
8.000 TL",3 + 1,"
185 m2",10 Yaşında, 11. Kat,"
Bahçelievler,
 
Yenibosna Merkez Mahallesi
"
139,"
1.500 TL",2 + 1,"
80 m2",25 Yaşında, Giriş Katı,"
Sarıyer,
 
Cumhuriyet Mahallesi
"
140,"
75.000 TL",2 + 1,"
380 m2",15 Yaşında, 21 ve üzeri,"
Beşiktaş,
 
Vişnezade Mahallesi
"
141,"
1.700 TL",Stüdyo,"
50 m2",16 Yaşında, En Üst Kat,"
Kağıthane,
 
Seyrantepe Mahallesi
"
142,"
3.200 TL",3 + 1,"
150 m2",7 Yaşında, 4. Kat,"
Şişli,
 
Yayla Mahallesi
"
143,"
8.900 TL",3 + 1,"
119 m2",5 Yaşında, 20. Kat,"
Üsküdar,
 
Acıbadem Mahallesi
"
144,"
1.850 TL",2 + 1,"
120 m2",25 Yaşında, 2. Kat,"
Sarıyer,
 
Cumhuriyet Mahallesi
"
145,"
2.500 TL",1 + 1,"
67 m2",4 Yaşında, 5. Kat,"
Maltepe,
 
Cevizli Mahallesi
"
146,"
2.100 TL",2 + 1,"
105 m2",29 Yaşında, 4. Kat,"
Üsküdar,
 
Zeynep Kamil Mahallesi
"
147,"
3.000 TL",2 + 1,"
110 m2",32 Yaşında, 3. Kat,"
Fatih,
 
Topkapı Mahallesi
"
148,"
850 TL",2 + 1,"
100 m2",25 Yaşında, 2. Kat,"
Pendik,
 
Esenyalı Mahallesi
"
149,"
19.750 TL",4 + 1,"
218 m2",3 Yaşında, 11. Kat,"
Üsküdar,
 
Ünalan Mahallesi
"
150,"
2.000 TL",2 + 1,"
110 m2",Sıfır Bina, 5. Kat,"
Kağıthane,
 
Yahya Kemal Mahallesi
"
151,"
1.950 TL",2 + 1,"
90 m2",22 Yaşında, 2. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
152,"
12.500 TL",5 + 2,"
300 m2",25 Yaşında, 4. Kat,"
Bakırköy,
 
Yeşilyurt Mahallesi
"
153,"
1.350 TL",1 + 1,"
75 m2",22 Yaşında, 3. Kat,"
Kağıthane,
 
Telsizler Mahallesi
"
154,"
3.000 TL",1 + 1,"
70 m2",45 Yaşında, 3. Kat,"
Bakırköy,
 
Zeytinlik Mahallesi
"
155,"
2.150 TL",1 + 1,"
55 m2",5 Yaşında, Yüksek Giriş,"
Şişli,
 
Mecidiyeköy Mahallesi
"
156,"
1.350 TL",1 + 1,"
65 m2",35 Yaşında, Yüksek Giriş,"
Üsküdar,
 
Valide-i Atik Mahallesi
"
157,"
15.000 TL",4 + 1,"
250 m2",10 Yaşında, 5. Kat,"
Sarıyer,
 
Maslak Mahallesi
"
158,"
2.500 TL",3 + 1,"
135 m2",32 Yaşında, Bahçe Katı,"
Beşiktaş,
 
 Dikilitaş Mahallesi
"
159,"
2.000 TL",2 + 1,"
85 m2",32 Yaşında, 3. Kat,"
Şişli,
 
Paşa Mahallesi
"
160,"
2.100 TL",2 + 1,"
85 m2",35 Yaşında, 3. Kat,"
Fatih,
 
Şehremini Mahallesi
"
161,"
1.800 TL",2 + 1,"
75 m2",35 Yaşında, 4. Kat,"
Fatih,
 
Şehremini Mahallesi
"
162,"
2.900 TL",1 + 1,"
68 m2",3 Yaşında, 21 ve üzeri,"
Maltepe,
 
Cevizli Mahallesi
"
163,"
3.800 TL",4 + 1,"
150 m2",4 Yaşında, 3. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
164,"
2.500 TL",1 + 1,"
65 m2",5 Yaşında, 2. Kat,"
Fatih,
 
Mevlanakapı Mahallesi
"
165,"
6.500 TL",2 + 1,"
120 m2",45 Yaşında, 6. Kat,"
Beyoğlu,
 
Cihangir Mahallesi
"
166,"
2.500 TL",2 + 1,"
90 m2",20 Yaşında, 4. Kat,"
Şişli,
 
Halide Edip Adıvar Mahallesi
"
167,"
2.700 TL",1 + 1,"
72 m2",10 Yaşında, 2. Kat,"
Maltepe,
 
Zümrütevler Mahallesi
"
168,"
16.000 TL",3 + 1,"
240 m2",40 Yaşında, 7. Kat,"
Şişli,
 
Teşvikiye Mahallesi
"
169,"
2.600 TL",1 + 1,"
55 m2",4 Yaşında, 1. Kat,"
Bakırköy,
 
Kartaltepe Mahallesi
"
170,"
2.850 TL",2 + 1,"
85 m2",30 Yaşında, 2. Kat,"
Beşiktaş,
 
Ortaköy Mahallesi
"
171,"
3.250 TL",2 + 1,"
115 m2",35 Yaşında, 1. Kat,"
Fatih,
 
Şehremini Mahallesi
"
172,"
2.200 TL",2 + 1,"
90 m2",25 Yaşında, 4. Kat,"
Üsküdar,
 
Zeynep Kamil Mahallesi
"
173,"
3.200 TL",2 + 1,"
80 m2",50 Yaşında, 5. Kat,"
Beyoğlu,
 
Firuzağa Mahallesi
"
174,"
1.700 TL",3 + 1,"
85 m2",40 Yaşında, Bahçe Katı,"
Maltepe,
 
Bağlarbaşı Mahallesi
"
175,"
2.250 TL",1 + 1,"
45 m2",5 Yaşında, Yüksek Giriş,"
Ataşehir,
 
Kayışdağı Mahallesi
"
176,"
2.750 TL",3 + 1,"
110 m2",25 Yaşında, 5. Kat,"
Beyoğlu,
 
Kaptanpaşa Mahallesi
"
177,"
2.800 TL",3 + 1,"
120 m2",15 Yaşında, 4. Kat,"
Fatih,
 
Seyyid Ömer Mahallesi
"
178,"
35.000 TL",3 + 1,"
200 m2",12 Yaşında, 1. Kat,"
Sarıyer,
 
İstinye Mahallesi
"
179,"
3.200 TL",2 + 1,"
75 m2",30 Yaşında, Kot 1,"
Şişli,
 
Teşvikiye Mahallesi
"
180,"
2.000 TL",1 + 1,"
110 m2",16 Yaşında, Çatı Katı,"
Sarıyer,
 
Büyükdere Mahallesi
"
181,"
5.800 TL",3 + 1,"
110 m2",30 Yaşında, 2. Kat,"
Sarıyer,
 
Emirgan Mahallesi
"
182,"
2.250 TL",2 + 1,"
80 m2",6 Yaşında, 2. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
183,"
2.200 TL",2 + 1,"
85 m2",35 Yaşında, 3. Kat,"
Şişli,
 
Bozkurt Mahallesi
"
184,"
10.000 TL",3 + 1,"
185 m2",45 Yaşında, 4. Kat,"
Şişli,
 
Teşvikiye Mahallesi
"
185,"
1.700 TL",2 + 1,"
80 m2",20 Yaşında, 2. Kat,"
Kağıthane,
 
Harmantepe Mahallesi
"
186,"
1.800 TL",2 + 1,"
100 m2",27 Yaşında, 3. Kat,"
Bahçelievler,
 
Siyavuşpaşa Mahallesi
"
187,"
2.750 TL",3 + 1,"
120 m2",25 Yaşında, 2. Kat,"
Şişli,
 
Halide Edip Adıvar Mahallesi
"
188,"
4.500 TL",4 + 1,"
170 m2",4 Yaşında, 5. Kat,"
Bahçelievler,
 
Siyavuşpaşa Mahallesi
"
189,"
3.000 TL",3 + 1,"
130 m2",35 Yaşında, 2. Kat,"
Bahçelievler,
 
Bahçelievler Mahallesi
"
190,"
2.300 TL",3 + 1,"
150 m2",21 Yaşında, 5. Kat,"
Beyoğlu,
 
Kaptanpaşa Mahallesi
"
191,"
1.250 TL",1 + 1,"
75 m2",17 Yaşında, 4. Kat,"
Kağıthane,
 
Gültepe Mahallesi
"
192,"
2.500 TL",2 + 1,"
95 m2",16 Yaşında, 3. Kat,"
Şişli,
 
Feriköy Mahallesi
"
193,"
3.000 TL",2 + 1,"
90 m2",35 Yaşında, 2. Kat,"
Fatih,
 
Şehremini Mahallesi
"
194,"
1.250 TL",1 + 1,"
60 m2",25 Yaşında, 3. Kat,"
Kağıthane,
 
Harmantepe Mahallesi
"
195,"
3.000 TL",2 + 1,"
100 m2",35 Yaşında, 4. Kat,"
Şişli,
 
Feriköy Mahallesi
"
196,"
2.500 TL",2 + 1,"
80 m2",30 Yaşında, Giriş Katı,"
Beşiktaş,
 
Dikilitaş Mahallesi
"
197,"
2.100 TL",2 + 1,"
100 m2",25 Yaşında, 3. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
198,"
120.000 TL",6 + 2,"
750 m2",25 Yaşında, ,"
Beykoz,
 
Göksu Mahallesi
"
199,"
2.750 TL",2 + 1,"
85 m2",Sıfır Bina, 3. Kat,"
Büyükçekmece,
 
Atatürk Mahallesi
"
200,"
60.000 TL",4 + 2,"
400 m2",10 Yaşında, ,"
Sarıyer,
 
Büyükdere Mahallesi
"
201,"
1.650 TL",2 + 1,"
70 m2",32 Yaşında, 2. Kat,"
Fatih,
 
Şehremini Mahallesi
"
202,"
2.500 TL",2 + 1,"
100 m2",30 Yaşında, 1. Kat,"
Beyoğlu,
 
Yenişehir Mahallesi
"
203,"
3.500 TL",2 + 1,"
100 m2",30 Yaşında, Ara Kat,"
Şişli,
 
Bozkurt Mahallesi
"
204,"
10.500 TL",1 + 1,"
125 m2",15 Yaşında, 21 ve üzeri,"
Şişli,
 
Esentepe Mahallesi
"
205,"
2.750 TL",3 + 1,"
160 m2",22 Yaşında, 4. Kat,"
Zeytinburnu,
 
Kazlıçeşme Mahallesi
"
206,"
1.400 TL",2 + 1,"
70 m2",35 Yaşında, 4. Kat,"
Kağıthane,
 
Ortabayır Mahallesi
"
207,"
3.600 TL",4 + 1,"
170 m2",35 Yaşında, Teras Katı,"
Üsküdar,
 
Murat Reis Mahallesi
"
208,"
40.000 TL",12 + 0,"
610 m2",4 Yaşında, ,"
Kadıköy,
 
Osmanağa Mahallesi
"
209,"
1.400 TL",1 + 1,"
25 m2",26 Yaşında, Giriş Katı,"
Şişli,
 
Fulya Mahallesi
"
